Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Micromesistius,australis,-53.75,-41.75,5504:131:4,0.17
Micromesistius,australis,-53.75,-42.25,5504:132:3,0.18
Micromesistius,australis,-53.75,-42.75,5504:132:4,0.14
Micromesistius,australis,-53.25,-43.25,5504:133:1,0.13
Micromesistius,australis,-53.75,-49.75,5504:239:4,0.02
Micromesistius,australis,-53.75,-50.25,5505:130:3,0.05
Micromesistius,australis,-51.75,-58.25,5505:218:3,0.14
Micromesistius,australis,-51.25,-59.75,5505:219:2,0.02
Micromesistius,australis,-51.75,-59.25,5505:219:3,0.02
Micromesistius,australis,-51.75,-59.75,5505:219:4,0.06
Micromesistius,australis,-52.25,-59.25,5505:229:1,0.17
Micromesistius,australis,-53.75,-57.25,5505:237:3,0.07
Micromesistius,australis,-55.25,-56.75,5505:456:2,0.16
Micromesistius,australis,-51.25,-60.75,5506:110:2,0.15
Micromesistius,australis,-51.75,-60.25,5506:110:3,0.03
Micromesistius,australis,-51.75,-60.75,5506:110:4,0.09
Micromesistius,australis,-50.25,-67.75,5506:207:2,0.04
Micromesistius,australis,-50.25,-68.25,5506:208:1,0.19
Micromesistius,australis,-50.75,-68.25,5506:208:3,0.19
Micromesistius,australis,-52.25,-68.75,5506:228:2,0.16
Micromesistius,australis,-52.25,-69.75,5506:229:2,0.08
Micromesistius,australis,-53.25,-67.25,5506:237:1,0.19
Micromesistius,australis,-53.25,-67.75,5506:237:2,0.14
Micromesistius,australis,-53.25,-68.75,5506:238:2,0.12
Micromesistius,australis,-54.25,-66.25,5506:246:1,0.17
Micromesistius,australis,-54.25,-66.75,5506:246:2,0.04
Micromesistius,australis,-54.25,-67.25,5506:247:1,0.11
Micromesistius,australis,-54.75,-69.25,5506:249:3,0.08
Micromesistius,australis,-55.25,-68.75,5506:458:2,0.04
Micromesistius,australis,-55.25,-69.25,5506:459:1,0.11
Micromesistius,australis,-50.25,-74.25,5507:104:1,0.14
Micromesistius,australis,-50.25,-74.75,5507:104:2,0.14
Micromesistius,australis,-50.75,-74.75,5507:104:4,0.13
Micromesistius,australis,-51.75,-74.25,5507:114:3,0.02
Micromesistius,australis,-51.75,-74.75,5507:114:4,0.03
Micromesistius,australis,-52.75,-71.75,5507:121:4,0.19
Micromesistius,australis,-52.25,-72.25,5507:122:1,0.09
Micromesistius,australis,-52.25,-72.75,5507:122:2,0.14
Micromesistius,australis,-52.25,-73.75,5507:123:2,0.02
Micromesistius,australis,-53.25,-72.25,5507:132:1,0.13
Micromesistius,australis,-53.75,-72.75,5507:132:4,0.16
Micromesistius,australis,-54.25,-70.25,5507:140:1,0.02
Micromesistius,australis,-54.75,-126.25,5512:246:3,0.08
Micromesistius,australis,-54.75,-129.25,5512:249:3,0.02
Micromesistius,australis,-54.75,-129.75,5512:249:4,0.13
Micromesistius,australis,-55.25,-124.75,5512:354:2,0.13
Micromesistius,australis,-55.25,-126.25,5512:456:1,0.03
Micromesistius,australis,-55.25,-128.75,5512:458:2,0.14
Micromesistius,australis,-56.25,-142.25,5514:362:1,0.04
Micromesistius,australis,-56.25,-142.75,5514:362:2,0.08
Micromesistius,australis,-60.25,-44.25,5604:104:1,0.01
Micromesistius,australis,-60.25,-44.75,5604:104:2,0.02
Micromesistius,australis,-60.75,-44.25,5604:104:3,0.01
Micromesistius,australis,-60.75,-44.75,5604:104:4,0.02
Micromesistius,australis,-60.25,-45.25,5604:205:1,0.04
Micromesistius,australis,-60.25,-45.75,5604:205:2,0.04
Micromesistius,australis,-60.75,-45.25,5604:205:3,0.02
Micromesistius,australis,-60.75,-45.75,5604:205:4,0.02
Micromesistius,australis,-60.25,-46.25,5604:206:1,0.03
Micromesistius,australis,-60.25,-46.75,5604:206:2,0.02
Micromesistius,australis,-60.75,-46.25,5604:206:3,0.02
Micromesistius,australis,-60.75,-46.75,5604:206:4,0.01
Micromesistius,australis,-60.25,-47.25,5604:207:1,0.02
Micromesistius,australis,-60.75,-47.25,5604:207:3,0.01
Micromesistius,australis,-60.25,-49.75,5604:209:2,0.01
Micromesistius,australis,-60.75,-50.25,5605:100:3,0.01
Micromesistius,australis,-60.75,-50.75,5605:100:4,0.01
Micromesistius,australis,-60.25,-52.75,5605:102:2,0.06
Micromesistius,australis,-60.75,-52.25,5605:102:3,0.03
Micromesistius,australis,-60.75,-52.75,5605:102:4,0.05
Micromesistius,australis,-60.75,-53.25,5605:103:3,0.08
Micromesistius,australis,-60.75,-53.75,5605:103:4,0.08
Micromesistius,australis,-60.75,-54.25,5605:104:3,0.09
Micromesistius,australis,-60.75,-54.75,5605:104:4,0.11
Micromesistius,australis,-61.25,-50.75,5605:110:2,0.01
Micromesistius,australis,-61.25,-51.25,5605:111:1,0.01
Micromesistius,australis,-61.25,-51.75,5605:111:2,0.01
Micromesistius,australis,-61.25,-52.25,5605:112:1,0.02
Micromesistius,australis,-61.25,-52.75,5605:112:2,0.02
Micromesistius,australis,-61.75,-52.25,5605:112:3,0.01
